Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Myc Targets V1,-0.5773399661391081,-2.7100195438275425,0.0,0.0,0.0,119/199,24.76%,RAD23B;NOP16;EIF3B;VDAC1;PPM1G;STARD7;PSMB2;EIF4G2;EIF4A1;SERBP1;CTPS1;PSMA4;HPRT1;DEK;MCM7;CCT2;IMPDH2;UBE2L3;HDGF;EIF3J;PWP1;YWHAQ;PSMD1;SNRPG;SMARCC1;PSMA6;COX5A;NOLC1;POLE3;TXNL4A;HNRNPD;NME1;HDAC2;SYNCRIP;TRIM28;PSMD3;RPLP0;TFDP1;PSMA7;KPNA2;DDX21;CCT4;SRPK1;HNRNPR;SET;PSMA2;PSMC6;ILF2;PSMD8;RNPS1;ERH;FAM120A;RAN;CYC1;MCM5;NDUFAB1;MCM4;C1QBP;GNL3;NHP2;SNRPB2;CCT3;SNRPD3;ETF1;PCBP1;SRM;PSMC4;HNRNPA2B1;PSMB3;USP1;PPIA;UBA2;CDC45;ABCE1;PSMD14;CCT5;IARS1;PRPF31;MCM2;PGK1;LSM7;COPS5;RPL6;EXOSC7;RRP9;LDHA;CBX3;APEX1;HDDC2;AIMP2;TUFM;EIF2S2;EIF4E;CDC20;PRDX3;H2AZ1;TCP1;SNRPD1;AP3S1;CDK2;IFRD1;ACP1;NOP56;HNRNPA3;LSM2;CCT7;KARS1;RANBP1;RACK1;PCNA;GSPT1;NCBP2;KPNB1;HNRNPC;MRPS18B;RSL1D1;CAD;MYC;XRCC6
prerank,G2-M Checkpoint,-0.5587290600025935,-2.6035769624406107,0.0,0.0,0.0,110/190,24.86%,SMC4;MAP3K20;RAD23B;BARD1;TACC3;CENPE;EZH2;ATF5;DR1;SQLE;MARCKS;NASP;HMGB3;CCNB2;MTF2;ODF2;HMGA1;H2BC12;NSD2;PML;RACGAP1;SMARCC1;NOLC1;HNRNPD;NCL;TOP1;STMN1;SYNCRIP;CUL4A;LMNB1;SAP30;TFDP1;KPNA2;UPF1;WRN;H2AZ2;NUP50;RBM14;LBR;TPX2;MCM5;LIG3;CKS2;KNL1;DDX39A;SMC1A;KIF5B;CENPF;SS18;CHMP1A;DKC1;KMT5A;CHAF1A;FBXO5;CDC45;BIRC5;JPT1;AURKB;CHEK1;PDS5B;PRC1;HIRA;MCM2;POLE;TNPO2;CUL3;EXO1;MYBL2;KIF4A;PAFAH1B1;NUSAP1;GINS2;PLK4;HSPA8;MKI67;UCK2;PRMT5;FANCC;E2F1;KIF2C;BUB1;TLE3;RAD21;CCNF;CDC20;ORC5;MCM3;H2AZ1;NDC80;KATNA1;SNRPD1;TTK;CDC6;ABL1;E2F3;ORC6;UBE2S;UBE2C;HMGN2;GSPT1;KPNB1;HIF1A;CTCF;CUL5;SFPQ;EWSR1;STAG1;MYC;SUV39H1;POLQ
prerank,Mitotic Spindle,-0.5066300628068318,-2.367516259372811,0.0,0.0,0.0,85/189,20.78%,SMC4;EPB41;CD2AP;TRIO;PCNT;RAPGEF5;CENPE;KPTN;CLIP2;SPTBN1;ROCK1;WASF1;MARCKS;GEMIN4;CCNB2;ATG4B;RABGAP1;MARK4;KIF3C;RACGAP1;ARHGEF7;WASF2;PPP4R2;AKAP13;LMNB1;KATNB1;ANLN;CAPZB;EPB41L2;NEDD9;TPX2;CKAP5;STK38L;SMC1A;CDC42;FLNB;KIF5B;CENPF;FARP1;DOCK2;ABI1;NCK1;FGD6;FBXO5;ARHGAP4;RHOF;SEPTIN9;BIRC5;APC;SMC3;PRC1;DLGAP5;PKD2;MAP1S;BCL2L11;RFC1;EZR;SSH2;RANBP9;RALBP1;KIF4A;PAFAH1B1;NUSAP1;ITSN1;CSNK1D;MAPRE1;HOOK3;WASL;ECT2;RASA2;KIF2C;CEP131;BUB1;MYH9;RAB3GAP1;BIN1;KLC1;NDC80;KATNA1;TTK;SAC3D1;TBCD;NET1;ABL1;CEP250
prerank,Myc Targets V2,-0.5933372677438165,-2.2770632673443107,0.0,0.0,0.0,29/57,17.92%,NOP16;TFB2M;SLC19A1;TCOF1;PPRC1;WDR43;NOLC1;IPO4;NDUFAF4;NIP7;MRTO4;SORD;HK2;MCM5;BYSL;MCM4;GNL3;DCTPP1;SRM;PES1;TMEM97;GRWD1;RCL1;PLK4;RRP9;NOP2;CBX3;AIMP2;EXOSC5
prerank,Oxidative Phosphorylation,-0.4718997785299383,-2.2615664416340397,0.0,0.0,0.0,93/198,22.19%,SLC25A5;ATP5F1C;VDAC1;ATP5F1B;IDH2;IMMT;NDUFA9;TIMM8B;MRPS12;ATP5F1E;SLC25A12;MRPS11;CS;NDUFC2;COX5A;ATP5MC3;ATP5PB;NDUFA2;NDUFS6;NDUFS3;COX7B;MRPL15;ACAA2;PDHB;UQCRQ;UQCRH;MDH1;NDUFB6;ATP6V0B;MRPS15;COX6A1;BDH2;ATP5MF;NDUFA6;TOMM22;CYC1;UQCRC2;COX6C;SDHD;ATP1B1;NDUFAB1;NDUFS8;ALAS1;SDHB;GPI;TIMM13;UQCRC1;ATP5PF;ETFB;NDUFB4;AFG3L2;NDUFV1;NDUFA7;ATP6V1D;PMPCA;NNT;SLC25A6;TIMM9;ISCA1;SLC25A20;UQCR10;ATP6V1H;HADHB;ATP6V1F;SUCLG1;RETSAT;LDHA;AIFM1;HCCS;MDH2;MRPL11;NDUFA1;MRPS22;RHOT1;MFN2;PRDX3;CYCS;CYB5A;TIMM50;ATP5ME;COX10;VDAC2;BCKDHA;UQCRFS1;DLD;HSD17B10;IDH3B;TIMM17A;NDUFB3;POLR2F;ATP5MC1;ETFDH;LDHB
prerank,E2F Targets,-0.465296394788754,-2.189505346677792,0.0,0.0,0.0,96/193,24.83%,SMC4;BARD1;TACC3;CENPE;EZH2;ING3;TP53;CTPS1;WEE1;TUBB;SNRPB;DEK;PPM1D;MCM7;NASP;PPP1R8;DCK;UBR7;HMGB3;CCNB2;HMGA1;RACGAP1;PAICS;NOLC1;HNRNPD;NME1;STMN1;SYNCRIP;GINS3;LMNB1;MSH2;KPNA2;BUB1B;RAN;LBR;MCM5;CKS2;TIMELESS;SLBP;MCM4;DDX39A;SMC1A;POP7;DCTPP1;NCAPD2;PHF5A;CSE1L;USP1;NBN;DCLRE1B;BIRC5;JPT1;AURKB;CHEK1;TUBG1;SMC3;PDS5B;SMC6;DLGAP5;MCM2;POLE;RFC1;MYBL2;KIF4A;NUP153;PLK4;MKI67;PRKDC;RAD1;IPO7;KIF2C;PSMC3IP;RAD21;RRM2;TFRC;CDC20;MCM3;H2AZ1;TRIP13;NOP56;UBE2T;MTHFD2;ORC6;UBE2S;AK2;POLD1;RANBP1;CDCA8;PCNA;GSPT1;CHEK2;CTCF;STAG1;MYC;XRCC6;SUV39H1
prerank,Interferon Alpha Response,-0.5233260544500602,-2.183033272470789,0.0,0.0,0.0,50/94,20.31%,CCRL2;LGALS3BP;LAP3;NMI;SELL;PSMB8;UBE2L6;CNP;USP18;ISG15;PLSCR1;IFITM1;CD47;SP110;IFIH1;PARP12;IFI44L;EPSTI1;IRF7;PARP9;RSAD2;IRF9;OAS1;CD74;CMPK2;PSMA3;STAT2;GBP2;RNF31;GBP4;PSME2;EIF2AK2;MX1;TRIM25;PNPT1;DDX60;IFI27;IL4R;TRAFD1;NCOA7;IFIT3;SAMD9L;OASL;TAP1;IFI44;TRIM21;ADAR;LAMP3;RIPK2;IFI35
prerank,mTORC1 Signaling,-0.4515960302755948,-2.1268381989397622,0.0,0.0,0.0,95/193,23.97%,PSMA4;HPRT1;IMMT;SQLE;NFKBIB;MTHFD2L;RPN1;PIK3R3;SCD;YKT6;RIT1;EEF1E1;PSMD13;SHMT2;ADD3;PITPNB;CCT6A;SORD;GSK3B;PSME3;IGFBP5;PSMC6;HSPA4;HK2;CALR;MCM4;DDX39A;GPI;GMPS;NUFIP1;SLC2A1;ETF1;GCLC;PDAP1;PSMC4;ACTR2;ATP6V1D;PSMA3;PPIA;ENO1;SKAP2;ACLY;PSMD14;BCAT1;TUBG1;TMEM97;SLC6A6;CD9;ARPC5L;MLLT11;MCM2;NMT1;PGK1;CTSC;PSMC2;COPS5;RRP9;ATP2A2;LDHA;SEC11A;TCEA1;GAPDH;GLRX;BUB1;EIF2S2;RRM2;NFYC;TFRC;CCNF;ADIPOR2;EBP;TES;CACYBP;PGM1;RDH11;NAMPT;TRIB3;PSAT1;UBE2D3;IFRD1;ELOVL5;SRD5A1;ACTR3;MTHFD2;TXNRD1;ACSL3;PPP1R15A;ATP5MC1;SDF2L1;HMGCS1;DDIT3;HSPA5;WARS1;CORO1A;UCHL5
prerank,PI3K/AKT/mTOR  Signaling,-0.49584534801003405,-2.116890441465971,0.0,0.0,0.0,48/96,23.22%,CAMK4;PRKAG1;AP2M1;NFKBIB;PIK3R3;MAPK1;MAPK8;PLCG1;PFN1;RIT1;RAC1;ARPC3;PTPN11;PLCB1;CSNK2B;GSK3B;UBE2N;PTEN;CALR;SLC2A1;ACTR2;NCK1;STAT2;CFL1;PPP1CA;VAV3;RPTOR;AKT1S1;SMAD2;ITPR2;ARF1;MYD88;E2F1;EIF4E;CLTC;CDK2;TRIB3;UBE2D3;YWHAB;ACTR3;GNA14;TSC2;ATF1;RALB;LCK;PIN1;DDIT3;NOD1
prerank,Interferon Gamma Response,-0.43415227405239626,-2.0411750661261694,0.0,0.0,0.0,84/183,23.69%,CD38;AUTS2;GZMA;PSMB2;LGALS3BP;LAP3;PTPN2;NMI;NUP93;PML;PSMB8;UBE2L6;USP18;KLRK1;ISG15;CASP3;RNF213;PLSCR1;NCOA3;PSMA2;RBCK1;SP110;IFIH1;PARP12;IFI44L;EPSTI1;IRF7;RSAD2;IRF9;P2RY14;CD74;APOL6;BPGM;CMPK2;OAS2;PSMA3;STAT2;XAF1;RNF31;PLA2G4A;GBP4;PSME2;EIF2AK2;MX1;TRIM25;PNPT1;DDX60;IFI27;IFIT1;BANK1;ZNFX1;IL4R;STAT1;TRAFD1;MYD88;IFIT3;LYSMD2;SAMD9L;OASL;TAP1;IFI44;TRIM21;MVP;ADAR;NFKBIA;NAMPT;RIPK2;GCH1;IFI35;MTHFD2;PDE4B;IL15;OAS3;TNFSF10;PSME1;CASP4;ST8SIA4;NLRC5;NOD1;WARS1;SPPL2A;RTP4;MX2;HIF1A
